0	0.78300	0.09167
1000	0.85983	0.19500
2000	0.88600	0.19400
3000	0.90583	0.38000
4000	0.91083	0.41800
5000	0.91400	0.40500
6000	0.93117	0.54533
7000	0.92583	0.49633
8000	0.93750	0.57967
9000	0.93867	0.53600
10000	0.94483	0.52733
11000	0.94200	0.64867
12000	0.94950	0.65133
13000	0.95333	0.67467
14000	0.94633	0.62533
15000	0.94333	0.61867
16000	0.95317	0.66167
17000	0.95700	0.78333
18000	0.95700	0.77133
19000	0.95200	0.75700
20000	0.95600	0.78933
21000	0.95883	0.75833
22000	0.96117	0.80200
23000	0.96150	0.72000
24000	0.96467	0.77700
25000	0.96950	0.79533
26000	0.96033	0.76600
27000	0.96950	0.73400
28000	0.96583	0.80500
29000	0.96383	0.72200
30000	0.96333	0.74200
31000	0.96667	0.84400
32000	0.96967	0.81967
33000	0.97200	0.78167
34000	0.97017	0.85267
35000	0.97083	0.82133
36000	0.96433	0.82733
37000	0.96683	0.82633
38000	0.96550	0.81067
39000	0.97117	0.84633
40000	0.96867	0.86533
41000	0.96600	0.78233
42000	0.96850	0.78200
43000	0.97267	0.85800
44000	0.96767	0.81500
45000	0.96550	0.81433
46000	0.97100	0.77433
47000	0.96550	0.83333
48000	0.96900	0.82433
49000	0.97133	0.78700
50000	0.96967	0.80333
51000	0.96833	0.83333
52000	0.96850	0.84367
53000	0.96983	0.84200
54000	0.97000	0.88867
55000	0.96967	0.85900
56000	0.97050	0.83133
57000	0.97083	0.85967
58000	0.97350	0.76967
59000	0.97700	0.85933
60000	0.97617	0.87833
61000	0.97300	0.88867
62000	0.97467	0.89800
63000	0.97367	0.89367
64000	0.97683	0.90100
65000	0.97367	0.88667
66000	0.97450	0.89600
67000	0.97467	0.89600
68000	0.97517	0.88600
69000	0.97533	0.89733
70000	0.97350	0.89233
71000	0.97483	0.89767
72000	0.97417	0.89400
73000	0.97083	0.89967
74000	0.97283	0.91200
75000	0.97517	0.90667
76000	0.97350	0.89100
77000	0.97467	0.89300
78000	0.97333	0.89433
79000	0.97667	0.89333
